北京临床版编码v7.0,北京临床版名称v7.0,国家临床版编码2.0,附加代码,国家临床版名称2.0,
I21.222,急性前间壁高侧壁心肌梗死,I21.200x022,,急性前间壁高侧壁心肌梗死,I21.200x022
I21.223,急性广泛前壁下壁心肌梗死,I21.200x023,,急性广泛前壁下壁心肌梗死,I21.200x023
I21.224,急性前壁高侧壁下壁心肌梗死,I21.200x024,,急性前壁高侧壁下壁心肌梗死,I21.200x024
I21.225,急性广泛前壁下壁高侧壁心肌梗死,I21.200x025,,急性广泛前壁下壁高侧壁心肌梗死,I21.200x025
I21.226,急性前间壁下壁心肌梗死,I21.200x026,,急性前间壁下壁心肌梗死,I21.200x026
I21.227,急性高侧壁正后壁心肌梗死,I21.200x027,,急性高侧壁正后壁心肌梗死,I21.200x027
I21.228,急性右心室心肌梗死,I21.200x028,,急性右心室心肌梗死,I21.200x028
I21.229,急性下壁侧壁心肌梗死,I21.200x029,,急性下壁侧壁心肌梗死,I21.200x029
I21.230,急性下后壁右心室心肌梗死,I21.200x030,,急性下后壁右心室心肌梗死,I21.200x030
I21.303,手术后心肌梗死,I21.300x003,,手术后心肌梗死,I21.300x003
I21.304,急性ST段抬高型心肌梗死,I21.300x004,,急性ST段抬高型心肌梗死,I21.300x004
I21.305,围手术期心肌梗死,I21.300x005,,围手术期心肌梗死,I21.300x005
I21.306,冠状动脉旁路移植手术相关性心肌梗死,I21.300x006,,冠状动脉旁路移植手术相关性心肌梗死,I21.300x006
I21.307,冠状动脉介入术相关性心肌梗死,I21.300x007,,冠状动脉介入术相关性心肌梗死,I21.300x007
I21.308,支架内血栓相关性心肌梗死,I21.300x008,,支架内血栓相关性心肌梗死,I21.300x008
I21.401,急性小灶心肌梗死,I21.400x001,,急性小灶心肌梗死,I21.400x001
I21.402,急性心内膜下心肌梗死,I21.400,,急性心内膜下心肌梗死,I21.400
I21.403,急性非ST段抬高型心肌梗死,I21.401,,急性非ST段抬高型心肌梗死,I21.401
I21.404,急性非Q波型心肌梗死,I21.400x004,,急性非Q波型心肌梗死,I21.400x004
I21.901,非冠心病性心肌梗死,I21.900x001,,非冠心病性心肌梗死,I21.900x001
I21.902,急性心肌梗死,I21.900,,急性心肌梗死,I21.900
I21.911,冠状动脉破裂,I21.901,,冠状动脉破裂,I21.901
I22.001,急性前壁再发心肌梗死,I22.000x001,,急性前壁再发心肌梗死,I22.000x001
I22.002,急性广泛前壁再发心肌梗死,I22.000x002,,急性广泛前壁再发心肌梗死,I22.000x002
I22.003,急性前间壁再发心肌梗死,I22.000x003,,急性前间壁再发心肌梗死,I22.000x003
I22.101,急性下壁再发心肌梗死,I22.100x001,,急性下壁再发心肌梗死,I22.100x001
I22.102,急性下后壁再发心肌梗死,I22.100x002,,急性下后壁再发心肌梗死,I22.100x002
I22.103,急性下侧壁再发心肌梗死,I22.100x003,,急性下侧壁再发心肌梗死,I22.100x003
I22.801,急性后壁再发心肌梗死,I22.800x001,,急性后壁再发心肌梗死,I22.800x001
I22.802,急性后间壁再发心肌梗死,I22.800x002,,急性后间壁再发心肌梗死,I22.800x002
I22.803,急性间壁再发心肌梗死,I22.800x003,,急性间壁再发心肌梗死,I22.800x003
I22.804,急性侧壁再发心肌梗死,I22.800x004,,急性侧壁再发心肌梗死,I22.800x004
I22.805,急性高侧壁再发心肌梗死,I22.800x005,,急性高侧壁再发心肌梗死,I22.800x005
I22.806,急性前壁高侧壁再发心肌梗死,I22.800x006,,急性前壁高侧壁再发心肌梗死,I22.800x006
I22.807,急性下壁侧壁正后壁再发心肌梗死,I22.800x007,,急性下壁侧壁正后壁再发心肌梗死,I22.800x007
I22.808,急性下壁右心室再发心肌梗死,I22.800x008,,急性下壁右心室再发心肌梗死,I22.800x008
I22.809,急性下壁正后壁再发心肌梗死,I22.800x009,,急性下壁正后壁再发心肌梗死,I22.800x009
I22.810,急性正后壁再发心肌梗死,I22.800x010,,急性正后壁再发心肌梗死,I22.800x010
I22.811,急性前壁下壁再发心肌梗死,I22.800x011,,急性前壁下壁再发心肌梗死,I22.800x011
I22.812,急性右心室再发心肌梗死,I22.800x012,,急性右心室再发心肌梗死,I22.800x012
I22.813,急性广泛前壁下壁高侧壁再发心肌梗死,I22.800x013,,急性广泛前壁下壁高侧壁再发心肌梗死,I22.800x013
I22.814,急性下壁高侧壁正后壁再发心肌梗死,I22.800x014,,急性下壁高侧壁正后壁再发心肌梗死,I22.800x014
I22.815,急性下壁高侧壁再发心肌梗死,I22.800x015,,急性下壁高侧壁再发心肌梗死,I22.800x015
I22.816,急性侧壁正后壁再发心肌梗死,I22.800x016,,急性侧壁正后壁再发心肌梗死,I22.800x016
I22.817,急性前间壁高侧壁再发心肌梗死,I22.800x017,,急性前间壁高侧壁再发心肌梗死,I22.800x017
I22.818,急性前间壁下壁再发心肌梗死,I22.800x018,,急性前间壁下壁再发心肌梗死,I22.800x018
I22.901,急性再发心肌梗死,I22.900x001,,急性再发心肌梗死,I22.900x001
I23.001,急性心肌梗死后心脏破裂伴心包积血,I23.000x001,,急性心肌梗死后心脏破裂伴心包积血,I23.000x001
I23.101,急性心肌梗死后房间隔穿孔,I23.100,,房间隔缺损作为急性心肌梗死后的近期并发症,I23.100
I23.201,急性心肌梗死后室间隔穿孔,I23.200x001,,急性心肌梗死后室间隔穿孔,I23.200x001
I23.301,急性心肌梗死后心脏破裂,I23.300x001,,急性心肌梗死后心脏破裂,I23.300x001
I23.401,急性心肌梗死后腱索断裂,I23.400x001,,急性心肌梗死后腱索断裂,I23.400x001
I23.501,急性心肌梗死后乳头肌断裂,I23.500x001,,急性心肌梗死后乳头肌断裂,I23.500x001
I23.601,急性心肌梗死后心室附壁血栓形成,I23.601,,急性心肌梗死后心室附壁血栓形成,I23.601
I24.001,冠状动脉闭塞,I24.002,,冠状动脉闭塞,I24.002
I24.002,冠状动脉栓塞,I24.003,,冠状动脉栓塞,I24.003
I24.003,冠状动脉血栓形成,I24.000x003,,冠状动脉血栓形成,I24.000x003
I24.004,急性冠状动脉支架内血栓形成,I24.000x004,,急性冠状动脉支架内血栓形成,I24.000x004
I24.005,亚急性冠状动脉支架内血栓形成,I24.000x005,,亚急性冠状动脉支架内血栓形成,I24.000x005
I24.006,晚期冠状动脉支架内血栓形成,I24.000x006,,晚期冠状动脉支架内血栓形成,I24.000x006
I24.007,冠状动脉支架内血栓形成,I24.001,,冠状动脉支架内血栓形成,I24.001
I24.008,晚晚期冠状动脉支架内血栓形成,I24.000x008,,晚晚期冠状动脉支架内血栓形成,I24.000x008
I24.009,冠状动脉支架后并发冠状动脉血栓栓塞,I24.000x009,,冠状动脉支架后并发冠状动脉血栓栓塞,I24.000x009
I24.010,冠状动脉支架后并发冠状动脉分支闭塞,I24.000x010,,冠状动脉支架后并发冠状动脉分支闭塞,I24.000x010
I24.101,心肌梗死后综合征[德雷斯勒综合征][Dressler综合征],I24.100,,德雷斯勒综合征,I24.100
I24.801,冠状动脉供血不足,I24.800x001,,冠状动脉供血不足,I24.800x001
I24.802,急性冠状动脉供血不足,I24.801,,急性冠状动脉供血不足,I24.801
I24.803,急性冠脉综合征,I24.801,,急性冠状动脉供血不足,I24.801
I24.804,冠状动脉支架后并发冠状动脉无再流,I24.800x004,,冠状动脉支架后并发冠状动脉无再流,I24.800x004
I24.901,急性心肌缺血,I24.900x001,,急性心肌缺血,I24.900x001
I25.103,冠状动脉狭窄,I25.101,,冠状动脉狭窄,I25.101
I25.104,冠状动脉粥样硬化,I25.102,,冠状动脉粥样硬化,I25.102
I25.105,冠状动脉粥样硬化性心脏病,I25.103,,冠状动脉粥样硬化性心脏病,I25.103
I25.201,陈旧性高侧壁心肌梗死,I25.201,,陈旧性高侧壁心肌梗死,I25.201
I25.202,陈旧性后壁心肌梗死,I25.202,,陈旧性后壁心肌梗死,I25.202
I25.203,陈旧性前壁心肌梗死,I25.203,,陈旧性前壁心肌梗死,I25.203
I25.204,陈旧性前间壁心肌梗死,I25.204,,陈旧性前间壁心肌梗死,I25.204
I25.205,陈旧性下壁后壁心肌梗死,I25.205,,陈旧性下壁后壁心肌梗死,I25.205
I25.206,陈旧性前壁下壁心肌梗死,I25.200x006,,陈旧性前壁下壁心肌梗死,I25.200x006
I25.207,陈旧性下壁心肌梗死,I25.207,,陈旧性下壁心肌梗死,I25.207
I25.208,陈旧性下壁正后壁心肌梗死,I25.208,,陈旧性下壁正后壁心肌梗死,I25.208
I25.209,陈旧性小灶性心肌梗死,I25.200x009,,陈旧性小灶性心肌梗死,I25.200x009
I25.210,陈旧性心肌梗死,I25.200,,陈旧性心肌梗死,I25.200
I25.211,陈旧性心内膜下心肌梗死,I25.200x011,,陈旧性心内膜下心肌梗死,I25.200x011
I25.212,陈旧性正后壁心肌梗死,I25.200x012,,陈旧性正后壁心肌梗死,I25.200x012
I25.213,心肌梗死恢复期,I25.200x013,,心肌梗死恢复期,I25.200x013
I25.214,陈旧性非ST段抬高性心肌梗死,I25.200x014,,陈旧性非ST段抬高性心肌梗死,I25.200x014
I25.215,陈旧性右心室心肌梗死,I25.200x015,,陈旧性右心室心肌梗死,I25.200x015
I25.216,陈旧性广泛前壁心肌梗死,I25.200x016,,陈旧性广泛前壁心肌梗死,I25.200x016
I25.217,陈旧性前壁高侧壁心肌梗死,I25.200x017,,陈旧性前壁高侧壁心肌梗死,I25.200x017
I25.218,陈旧性下壁高侧壁心肌梗死,I25.200x018,,陈旧性下壁高侧壁心肌梗死,I25.200x018
I25.219,陈旧性高侧壁正后壁心肌梗死,I25.200x019,,陈旧性高侧壁正后壁心肌梗死,I25.200x019
I25.220,陈旧性前间壁高侧壁心肌梗死,I25.200x020,,陈旧性前间壁高侧壁心肌梗死,I25.200x020
I25.221,陈旧性前壁下壁高侧壁心肌梗死,I25.200x021,,陈旧性前壁下壁高侧壁心肌梗死,I25.200x021
I25.222,陈旧性前间壁下壁心肌梗死,I25.200x022,,陈旧性前间壁下壁心肌梗死,I25.200x022
I25.223,陈旧性下壁右心室心肌梗死,I25.200x023,,陈旧性下壁右心室心肌梗死,I25.200x023
I25.224,陈旧性下壁高侧壁正后壁心肌梗死,I25.200x024,,陈旧性下壁高侧壁正后壁心肌梗死,I25.200x024
I25.225,陈旧性侧壁心肌梗死,I25.200x025,,陈旧性侧壁心肌梗死,I25.200x025
I25.226,陈旧性侧壁正后壁心肌梗死,I25.200x026,,陈旧性侧壁正后壁心肌梗死,I25.200x026
I25.227,陈旧性前侧壁心肌梗死,I25.200x027,,陈旧性前侧壁心肌梗死,I25.200x027
I25.228,陈旧性下壁后壁右心室心肌梗塞,I25.200x028,,陈旧性下壁后壁右心室心肌梗塞,I25.200x028
I25.229,陈旧性广泛前壁高侧壁心肌梗死,I25.200x029,,陈旧性广泛前壁高侧壁心肌梗死,I25.200x029
I25.230,陈旧性广泛前壁下壁心肌梗死,I25.200x030,,陈旧性广泛前壁下壁心肌梗死,I25.200x030
I25.231,陈旧性广泛前壁下壁高侧壁心肌梗死,I25.200x031,,陈旧性广泛前壁下壁高侧壁心肌梗死,I25.200x031
I25.301,房壁瘤,I25.302,,心房壁瘤,I25.302
I25.302,室壁瘤,I25.301,,心室壁瘤,I25.301
I25.303,心脏动脉瘤,I25.300,,心脏动脉瘤,I25.300
I25.305,室间隔动脉瘤,I25.300x005,,室间隔动脉瘤,I25.300x005
I25.306,左心室假性室壁瘤,I25.300x006,,左心室假性室壁瘤,I25.300x006
I25.307,左心室前壁心尖假性室壁瘤,I25.300x007,,左心室前壁心尖假性室壁瘤,I25.300x007
I25.308,左心室前壁心尖室壁瘤,I25.300x008,,左心室前壁心尖室壁瘤,I25.300x008
I25.309,左心室室壁瘤,I25.300x009,,左心室室壁瘤,I25.300x009
I25.310,左心室下壁假性室壁瘤,I25.300x010,,左心室下壁假性室壁瘤,I25.300x010
I25.311,左心室下壁室壁瘤,I25.300x011,,左心室下壁室壁瘤,I25.300x011
I25.312,右室室壁瘤,I25.300x012,,右室室壁瘤,I25.300x012
I25.313,假性室壁瘤,I25.300x013,,假性室壁瘤,I25.300x013
I25.401,冠状动脉窦动脉瘤,I25.400x001,,冠状动脉窦动脉瘤,I25.400x001
I25.402,冠状动脉扩张,I25.402,,冠状动脉扩张,I25.402
I25.403,冠状动脉动静脉瘘,I25.400x003,,冠状动脉动静脉瘘,I25.400x003
I25.404,冠状动脉瘤,I25.400,,冠状动脉动脉瘤,I25.400
I25.405,冠状动脉夹层,I25.400x005,,冠状动脉夹层,I25.400x005
I25.501,缺血性心肌病,I25.500,,缺血性心肌病,I25.500
I25.601,隐匿性冠状动脉粥样硬化性心脏病,I25.600x001,,隐匿性冠状动脉粥样硬化性心脏病,I25.600x001
I25.801,冠状动脉炎,I25.802,,冠状动脉炎,I25.802
I25.802,冠状动脉左房瘘,I25.800x002,,冠状动脉左房瘘,I25.800x002
I25.803,慢性冠状动脉供血不足,I25.800x003,,慢性冠状动脉供血不足,I25.800x003
I25.804,心肌供血不足,I25.800x004,,心肌供血不足,I25.800x004
I25.805,冠状动脉瘘,I25.800x005,,冠状动脉瘘,I25.800x005
I25.806,冠状动脉左室瘘,I25.800x006,,冠状动脉左室瘘,I25.800x006
I25.807,冠状动脉慢血流,I25.800x007,,冠状动脉慢血流,I25.800x007
I25.809,冠状动脉成形术后再狭窄,I25.800x009,,冠状动脉成形术后再狭窄,I25.800x009
I25.810,冠状动脉支架植入术后再狭窄,I25.800x010,,冠状动脉支架植入术后再狭窄,I25.800x010
I25.811,冠状动脉右室瘘,I25.800x011,,冠状动脉右室瘘,I25.800x011
I25.812,冠状动脉无再流,I25.800x012,,冠状动脉无再流,I25.800x012
I25.901,冠状动脉缺血,I25.902,,冠状动脉缺血,I25.902
I25.902,缺血性心脏病,I25.900x002,,缺血性心脏病,I25.900x002
I25.903,冠状动脉性心脏病,I25.901,,冠状动脉性心脏病,I25.901
I26.001,急性肺源性心脏病,I26.001,,急性肺源性心脏病,I26.001
I26.901,肺栓塞,I26.900x001,,肺栓塞,I26.900x001
I26.902,肺动脉血栓形成,I26.900x002,,肺动脉血栓形成,I26.900x002
I26.903,肺血栓栓塞症,I26.900x003,,肺血栓栓塞症,I26.900x003
I26.905,大面积肺栓塞,I26.900x005,,大面积肺栓塞,I26.900x005
I26.906,次大面积肺栓塞,I26.900x006,,次大面积肺栓塞,I26.900x006
I26.907,非血栓性肺栓塞,I26.900x007,,非血栓性肺栓塞,I26.900x007
I26.908,肺梗死,I26.900x008,,肺梗死,I26.900x008
I26.909,慢性肺动脉栓塞,I26.900x009,,慢性肺动脉栓塞,I26.900x009
I26.910,急性肺栓塞,I26.900x010,,急性肺栓塞,I26.900x010
I26.911,急性大面积肺栓塞,I26.900x011,,急性大面积肺栓塞,I26.900x011
I26.912,急性次大面积肺栓塞,I26.900x012,,急性次大面积肺栓塞,I26.900x012
I26.913,急性低风险性肺栓塞,I26.900x013,,急性低风险性肺栓塞,I26.900x013
I26.914,急性肺动脉栓塞,I26.900x014,,急性肺动脉栓塞,I26.900x014
I26.915,急性肺血栓栓塞症,I26.900x015,,急性肺血栓栓塞症,I26.900x015
I26.916,慢性肺血栓栓塞急性再发,I26.900x016,,慢性肺血栓栓塞急性再发,I26.900x016
I26.917,感染性肺栓塞,I26.900x017,,感染性肺栓塞,I26.900x017
I26.918,肺动脉菌栓栓塞,I26.900x018,,肺动脉菌栓栓塞,I26.900x018
I26.919,慢性肺血栓栓塞症,I26.902,,慢性肺血栓栓塞症,I26.902
I27.003,原发性肺动脉高压,I27.000,,原发性肺动脉高压,I27.000
I27.004,家族性肺动脉高压,I27.000x004,,家族性肺动脉高压,I27.000x004
I27.006,特发性肺动脉高压,I27.000x006,,特发性肺动脉高压,I27.000x006
I27.007,可遗传性肺动脉高压,I27.000x007,,可遗传性肺动脉高压,I27.000x007
I27.101,脊柱后侧凸性心脏病,I27.100,,脊柱后侧凸性心脏病,I27.100
I27.201,继发性肺动脉高压,I27.201,,继发性肺动脉高压,I27.201
I27.202,结缔组织病相关性肺动脉高压,I27.200x002,,结缔组织病相关性肺动脉高压,I27.200x002
I27.203,门静脉高压性肺动脉高压,I27.200x003,,门静脉高压性肺动脉高压,I27.200x003
I27.204,甲状腺相关性肺动脉高压,I27.200x004,,甲状腺相关性肺动脉高压,I27.200x004
I27.206,食物抑制剂相关性肺动脉高压,I27.200x006,,食物抑制剂相关性肺动脉高压,I27.200x006
I27.207,中度肺动脉高压,I27.200x012,,肺动脉高压,I27.200x012
I27.208,重度肺动脉高压,I27.200x012,,肺动脉高压,I27.200x012
I27.209,危险因素相关性肺动脉高压,I27.200x009,,危险因素相关性肺动脉高压,I27.200x009
I27.210,药物相关性肺动脉高压,I27.200x010,,药物相关性肺动脉高压,I27.200x010
I27.211,左心疾病相关性肺动脉高压,I27.200x011,,左心疾病相关性肺动脉高压,I27.200x011
I27.212,肺动脉高压,I27.200x012,,肺动脉高压,I27.200x012
I27.213,肺动脉高压危象,I27.200x013,,肺动脉高压危象,I27.200x013
I27.214,慢性血栓栓塞性肺动脉高压,I27.202,,慢性血栓栓塞性肺动脉高压症,I27.202
I27.215,轻度肺动脉高压,I27.200x015,,轻度肺动脉高压,I27.200x015
I27.216,低氧相关性肺动脉高压,I27.200x016,,低氧相关性肺动脉高压,I27.200x016
I27.217,脾切除相关性肺动脉高压,I27.200x017,,脾切除相关性肺动脉高压,I27.200x017
I27.218,疾病相关性肺动脉高压,I27.200x018,,疾病相关性肺动脉高压,I27.200x018
I27.219,毒物相关性肺动脉高压,I27.200x019,,毒物相关性肺动脉高压,I27.200x019
I27.801,艾森曼格综合征,I27.800x001,,艾森曼格综合征,I27.800x001
I27.901,肺源性心脏病,I27.900,,肺源性心脏病,I27.900
I27.902,慢性肺源性心脏病,I27.900x002,,慢性肺源性心脏病,I27.900x002
I28.001,肺动静脉瘘,I28.000,,肺血管动静脉瘘,I28.000
I28.002,经皮肺动静脉瘘栓塞术后再通,I28.000x002,,经皮肺动静脉瘘栓塞术后再通,I28.000x002
I28.101,肺动脉动脉瘤,I28.100,,肺动脉的动脉瘤,I28.100
I28.801,肺动脉扩张,I28.801,,肺动脉扩张,I28.801
I28.802,肺静脉狭窄,I28.802,,肺静脉狭窄,I28.802
I28.803,肺小静脉炎,I28.800x003,,肺小静脉炎,I28.800x003
I28.804,肺静脉闭塞,I28.804,,肺静脉闭塞症,I28.804
I28.805,肺毛细血管瘤样病变,I28.800x005,,肺毛细血管瘤样病变,I28.800x005
I28.807,肺血管炎,I28.800x007,,肺血管炎,I28.800x007
I28.808,特发性肺动脉扩张,I28.800x008,,特发性肺动脉扩张,I28.800x008
I28.809,肺动脉狭窄,I28.803,,后天性肺动脉狭窄,I28.803
I28.810,肺动脉闭塞,I28.800x010,,肺动脉闭塞,I28.800x010
I28.811,肺动脉炎,I28.800x007,,肺血管炎,I28.800x007
I30.001,急性非特异性特发性心包炎,I30.000,,急性非特异性特发性心包炎,I30.000
I30.101,病毒性心包炎,I30.103,,病毒性心包炎,I30.103
I30.102,细菌性心包炎,I30.102,,细菌性心包炎,I30.102
I30.103,病毒性心肌心包炎,I30.100x003,,病毒性心肌心包炎,I30.100x003
I30.104,化脓性心包炎,I30.101,,化脓性心包炎,I30.101
I30.105,感染性心包炎,I30.100,,感染性心包炎,I30.100
I30.106,急性感染心包积液,I30.100x006,,急性感染心包积液,I30.100x006
I30.107,链球菌性心包炎,I30.100x007,,链球菌性心包炎,I30.100x007
I30.108,葡萄球菌性心包炎,I30.100x008,,葡萄球菌性心包炎,I30.100x008
I30.801,纤维蛋白性心包炎,I30.801,,纤维蛋白性心包炎,I30.801
I30.901,急性心包积液,I30.900x001,,急性心包积液,I30.900x001
I30.902,急性心包炎,I30.900,,急性心包炎,I30.900
I30.903,急性心肌心包炎,I30.900x003,,急性心肌心包炎,I30.900x003
I31.001,慢性粘连性渗出性心包炎,I31.000x001,,慢性粘连性渗出性心包炎,I31.000x001
I31.002,心包粘连,I31.001,,心包粘连,I31.001
I31.101,慢性化脓性缩窄性心包炎,I31.100x001,,慢性化脓性缩窄性心包炎,I31.100x001
I31.102,缩窄性心包炎,I31.100x002,,缩窄性心包炎,I31.100x002
I31.103,心包钙化,I31.101,,心包钙化,I31.101
I31.201,心包积血,I31.200,,心包积血，不可归类在他处者,I31.200
I31.302,乳糜性心包积液,I31.301,,乳糜性心包积液,I31.301
I31.303,非炎性心包积液,I31.300,,心包积液(非炎性),I31.300
I31.305,甲状腺功能减低性心包积液,I31.300x005,,甲状腺功能减低性心包积液,I31.300x005
I31.801,心包破裂,I31.800x001,,心包破裂,I31.800x001
I31.802,包裹性心包积液,I31.800x004,,心包积液,I31.800x004
I31.803,心包积气,I31.800x003,,心包积气,I31.800x003
I31.804,心包积液,I31.800x004,,心包积液,I31.800x004
I31.902,非特异性心包炎,I31.903,,非特异性心包炎,I31.903
I31.903,慢性心包炎,I31.904,,慢性心包炎,I31.904
I31.906,心包压塞,I31.901,,心脏压塞,I31.901
I31.907,心包炎,I31.902,,心包炎,I31.902
I31.908,纵隔心包炎,I31.900x008,,纵隔心包炎,I31.900x008
I31.909,放射性心包炎,I31.900x009,,放射性心包炎,I31.900x009
I31.910,肿瘤性心包炎,I31.900x010,,肿瘤性心包炎,I31.900x010
I33.001,恶性心内膜炎,I33.000x001,,恶性心内膜炎,I33.000x001
I33.002,二尖瓣赘生物,I33.008,,二尖瓣赘生物,I33.008
I33.003,肺动脉瓣赘生物,I33.011,,肺动脉瓣赘生物,I33.011
I33.004,感染性心内膜炎,I33.000x004,,感染性心内膜炎,I33.000x004
I33.005,感染性心内膜赘生物,I33.006,,感染性心内膜炎性赘生物,I33.006
I33.006,革兰阳性杆菌性心内膜炎,I33.000x006,,革兰阳性杆菌性心内膜炎,I33.000x006
I33.007,急性细菌性心内膜炎,I33.000x007,,急性细菌性心内膜炎,I33.000x007
I33.008,假单胞菌性心内膜炎,I33.000x008,,假单胞菌性心内膜炎,I33.000x008
I33.009,链球菌性心内膜炎,I33.003,,链球菌性心内膜炎,I33.003
I33.011,葡萄球菌性心内膜炎,I33.000x011,,葡萄球菌性心内膜炎,I33.000x011
I33.012,三尖瓣赘生物,I33.010,,三尖瓣赘生物,I33.010
I33.013,细菌性心内膜炎,I33.005,,细菌性心内膜炎,I33.005
I33.014,亚急性细菌性心内膜炎,I33.007,,亚急性细菌性心内膜炎,I33.007
I33.015,真菌性心内膜炎,I33.004,,真菌性心内膜炎,I33.004
I33.016,主动脉瓣赘生物,I33.009,,主动脉瓣赘生物,I33.009
I33.017,亚急性感染性心内膜炎,I33.002,,亚急性感染性心内膜炎,I33.002
I33.018,HIV性心内膜炎,I33.000x018,,HIV性心内膜炎,I33.000x018
I33.019,吸毒性心内膜炎,I33.000x019,,吸毒性心内膜炎,I33.000x019
I33.020,二尖瓣瓣周脓肿,I33.000x020,,二尖瓣瓣周脓肿,I33.000x020
I33.021,右心感染性心内膜炎,I33.000x021,,右心感染性心内膜炎,I33.000x021
I33.022,左心自体瓣膜性心内膜炎,I33.000x022,,左心自体瓣膜性心内膜炎,I33.000x022
I33.023,左心人工瓣膜性心内膜炎,I33.000x023,,左心人工瓣膜性心内膜炎,I33.000x023
I33.024,机械相关性心内膜炎,I33.000x024,,机械相关性心内膜炎,I33.000x024
I33.025,急性感染性心内膜炎,I33.001,,急性感染性心内膜炎,I33.001
I33.901,急性心内膜炎,I33.900,,急性心内膜炎,I33.900
I34.001,非风湿性二尖瓣关闭不全,I34.000x001,,非风湿性二尖瓣关闭不全,I34.000x001
I34.002,二尖瓣关闭不全,I34.000x011,,二尖(瓣)关闭不全,I34.000x011
I34.101,二尖瓣后叶脱垂,I34.102,,二尖瓣后叶脱垂,I34.102
I34.102,二尖瓣脱垂,I34.100x011,,二尖(瓣)脱垂,I34.100x011
I34.103,二尖瓣脱垂综合征,I34.101,,二尖瓣脱垂综合征,I34.101
I34.104,二尖瓣脱垂伴关闭不全,I34.100x004,,二尖瓣脱垂伴关闭不全,I34.100x004
I34.201,二尖瓣术后狭窄,I34.201,,二尖瓣术后狭窄,I34.201
I34.202,老年钙化性二尖瓣狭窄,I34.202,,老年钙化性二尖瓣狭窄,I34.202
I34.203,二尖瓣闭式扩张术后再狭窄,I34.200x003,,二尖瓣闭式扩张术后再狭窄,I34.200x003
I34.204,非风湿性二尖瓣狭窄,I34.200x011,,非风湿性二尖(瓣)狭窄,I34.200x011
I34.801,二尖瓣腱索断裂,I34.802,,二尖瓣腱索断裂,I34.802
I34.802,二尖瓣裂,I34.800x002,,二尖瓣裂,I34.800x002
I34.803,手术后二尖瓣狭窄伴关闭不全,I34.800x003,,手术后二尖瓣狭窄伴关闭不全,I34.800x003
I34.804,非风湿性二尖瓣狭窄伴关闭不全,I34.801,,非风湿性二尖瓣狭窄伴关闭不全,I34.801
I34.805,心内膜炎并二尖瓣穿孔,I34.800x005,,心内膜炎并二尖瓣穿孔,I34.800x005
I34.806,二尖瓣钙化,I34.800,,非风湿性二尖瓣疾患，其他的,I34.800
I34.901,二尖瓣退行性变,I34.900,,非风湿性二尖瓣疾患,I34.900
I35.001,非风湿性主动脉瓣狭窄,I35.000x001,,非风湿性主动脉瓣狭窄,I35.000x001
I35.002,经导管主动脉瓣植入术后再狭窄,I35.000x002,,经导管主动脉瓣植入术后再狭窄,I35.000x002
I35.003,主动脉瓣球囊扩张术后再狭窄,I35.000x003,,主动脉瓣球囊扩张术后再狭窄,I35.000x003
I35.004,主动脉瓣狭窄,I35.000x011,,主动脉(瓣)狭窄,I35.000x011
I35.101,心内膜炎伴主动脉瓣关闭不全,I35.101,,心内膜炎伴主动脉瓣关闭不全,I35.101
I35.102,非风湿性主动脉瓣关闭不全,I35.100x002,,非风湿性主动脉瓣关闭不全,I35.100x002
I35.103,经导管主动脉瓣植入术后关闭不全,I35.100x003,,经导管主动脉瓣植入术后关闭不全,I35.100x003
I35.104,主动脉瓣关闭不全,I35.100x011,,主动脉(瓣)关闭不全,I35.100x011
I35.201,老年钙化性主动脉瓣狭窄伴关闭不全,I35.200x001,,老年钙化性主动脉瓣狭窄伴关闭不全,I35.200x001
I35.202,非风湿性主动脉瓣狭窄伴关闭不全,I35.200x002,,非风湿性主动脉瓣狭窄伴关闭不全,I35.200x002
I35.203,主动脉瓣狭窄伴关闭不全,I35.200,,主动脉瓣狭窄伴有关闭不全,I35.200
I35.801,退行性主动脉瓣疾患,I35.804,,退行性主动脉瓣疾患,I35.804
I35.802,心内膜炎伴主动脉瓣穿孔,I35.803,,心内膜炎伴主动脉瓣穿孔,I35.803
I35.803,心内膜炎伴主动脉瓣脱垂,I35.800x003,,心内膜炎伴主动脉瓣脱垂,I35.800x003
I35.804,主动脉瓣肥厚,I35.805,,主动脉瓣增厚,I35.805
I35.805,主动脉瓣钙化,I35.806,,主动脉瓣钙化,I35.806
I35.806,主动脉瓣松软综合征,I35.802,,主动脉瓣松软综合征,I35.802
I35.807,主动脉瓣脱垂,I35.808,,主动脉瓣脱垂,I35.808
I35.808,主动脉瓣硬化,I35.801,,主动脉瓣硬化,I35.801
I35.809,主动脉瓣周脓肿,I35.807,,主动脉瓣周脓肿,I35.807
I36.001,非风湿性三尖瓣狭窄,I36.000,,非风湿性三尖瓣狭窄,I36.000
I36.101,非风湿性三尖瓣关闭不全,I36.100,,非风湿性三尖瓣关闭不全,I36.100
I36.201,非风湿性三尖瓣狭窄伴关闭不全,I36.200,,非风湿性三尖瓣狭窄伴有关闭不全,I36.200
I36.801,非风湿性三尖瓣脱垂,I36.801,,非风湿性三尖瓣脱垂,I36.801
I36.802,三尖瓣脱垂,I36.800x002,,三尖瓣脱垂,I36.800x002
I36.803,三尖瓣下移,I36.800x003,,三尖瓣下移,I36.800x003
